id,name,no_ep
1,Rick Sanchez,51
2,Morty Smith,51
3,Summer Smith,42
4,Beth Smith,42
5,Jerry Smith,39
6,Abadango Cluster Princess,1
7,Abradolf Lincler,2
8,Adjudicator Rick,1
9,Agency Director,1
10,Alan Rails,1
11,Albert Einstein,1
12,Alexander,1
13,Alien Googah,1
14,Alien Morty,1
15,Alien Rick,1
16,Amish Cyborg,1
17,Annie,1
18,Antenna Morty,2
19,Antenna Rick,1
20,Ants in my Eyes Johnson,1
1,Rick Sanchez,51
2,Morty Smith,51
3,Summer Smith,42
4,Beth Smith,42
5,Jerry Smith,39
6,Abadango Cluster Princess,1
7,Abradolf Lincler,2
8,Adjudicator Rick,1
9,Agency Director,1
10,Alan Rails,1
11,Albert Einstein,1
12,Alexander,1
13,Alien Googah,1
14,Alien Morty,1
15,Alien Rick,1
16,Amish Cyborg,1
17,Annie,1
18,Antenna Morty,2
19,Antenna Rick,1
20,Ants in my Eyes Johnson,1
1,Rick Sanchez,51
2,Morty Smith,51
3,Summer Smith,42
4,Beth Smith,42
5,Jerry Smith,39
6,Abadango Cluster Princess,1
7,Abradolf Lincler,2
8,Adjudicator Rick,1
9,Agency Director,1
10,Alan Rails,1
11,Albert Einstein,1
12,Alexander,1
13,Alien Googah,1
14,Alien Morty,1
15,Alien Rick,1
16,Amish Cyborg,1
17,Annie,1
18,Antenna Morty,2
19,Antenna Rick,1
20,Ants in my Eyes Johnson,1
1,Rick Sanchez,51
2,Morty Smith,51
3,Summer Smith,42
4,Beth Smith,42
5,Jerry Smith,39
6,Abadango Cluster Princess,1
7,Abradolf Lincler,2
8,Adjudicator Rick,1
9,Agency Director,1
10,Alan Rails,1
11,Albert Einstein,1
12,Alexander,1
13,Alien Googah,1
14,Alien Morty,1
15,Alien Rick,1
16,Amish Cyborg,1
17,Annie,1
18,Antenna Morty,2
19,Antenna Rick,1
20,Ants in my Eyes Johnson,1
1,Rick Sanchez,51
2,Morty Smith,51
3,Summer Smith,42
4,Beth Smith,42
5,Jerry Smith,39
6,Abadango Cluster Princess,1
7,Abradolf Lincler,2
8,Adjudicator Rick,1
9,Agency Director,1
10,Alan Rails,1
11,Albert Einstein,1
12,Alexander,1
13,Alien Googah,1
14,Alien Morty,1
15,Alien Rick,1
16,Amish Cyborg,1
17,Annie,1
18,Antenna Morty,2
19,Antenna Rick,1
20,Ants in my Eyes Johnson,1
1,Rick Sanchez,51
2,Morty Smith,51
3,Summer Smith,42
4,Beth Smith,42
5,Jerry Smith,39
6,Abadango Cluster Princess,1
7,Abradolf Lincler,2
8,Adjudicator Rick,1
9,Agency Director,1
10,Alan Rails,1
11,Albert Einstein,1
12,Alexander,1
13,Alien Googah,1
14,Alien Morty,1
15,Alien Rick,1
16,Amish Cyborg,1
17,Annie,1
18,Antenna Morty,2
19,Antenna Rick,1
20,Ants in my Eyes Johnson,1
1,Rick Sanchez,51
2,Morty Smith,51
3,Summer Smith,42
4,Beth Smith,42
5,Jerry Smith,39
6,Abadango Cluster Princess,1
7,Abradolf Lincler,2
8,Adjudicator Rick,1
9,Agency Director,1
10,Alan Rails,1
11,Albert Einstein,1
12,Alexander,1
13,Alien Googah,1
14,Alien Morty,1
15,Alien Rick,1
16,Amish Cyborg,1
17,Annie,1
18,Antenna Morty,2
19,Antenna Rick,1
20,Ants in my Eyes Johnson,1
1,Rick Sanchez,51
2,Morty Smith,51
3,Summer Smith,42
4,Beth Smith,42
5,Jerry Smith,39
6,Abadango Cluster Princess,1
7,Abradolf Lincler,2
8,Adjudicator Rick,1
9,Agency Director,1
10,Alan Rails,1
11,Albert Einstein,1
12,Alexander,1
13,Alien Googah,1
14,Alien Morty,1
15,Alien Rick,1
16,Amish Cyborg,1
17,Annie,1
18,Antenna Morty,2
19,Antenna Rick,1
20,Ants in my Eyes Johnson,1
1,Rick Sanchez,51
2,Morty Smith,51
3,Summer Smith,42
4,Beth Smith,42
5,Jerry Smith,39
6,Abadango Cluster Princess,1
7,Abradolf Lincler,2
8,Adjudicator Rick,1
9,Agency Director,1
10,Alan Rails,1
11,Albert Einstein,1
12,Alexander,1
13,Alien Googah,1
14,Alien Morty,1
15,Alien Rick,1
16,Amish Cyborg,1
17,Annie,1
18,Antenna Morty,2
19,Antenna Rick,1
20,Ants in my Eyes Johnson,1
1,Rick Sanchez,51
2,Morty Smith,51
3,Summer Smith,42
4,Beth Smith,42
5,Jerry Smith,39
6,Abadango Cluster Princess,1
7,Abradolf Lincler,2
8,Adjudicator Rick,1
9,Agency Director,1
10,Alan Rails,1
11,Albert Einstein,1
12,Alexander,1
13,Alien Googah,1
14,Alien Morty,1
15,Alien Rick,1
16,Amish Cyborg,1
17,Annie,1
18,Antenna Morty,2
19,Antenna Rick,1
20,Ants in my Eyes Johnson,1
1,Rick Sanchez,51
2,Morty Smith,51
3,Summer Smith,42
4,Beth Smith,42
5,Jerry Smith,39
6,Abadango Cluster Princess,1
7,Abradolf Lincler,2
8,Adjudicator Rick,1
9,Agency Director,1
10,Alan Rails,1
11,Albert Einstein,1
12,Alexander,1
13,Alien Googah,1
14,Alien Morty,1
15,Alien Rick,1
16,Amish Cyborg,1
17,Annie,1
18,Antenna Morty,2
19,Antenna Rick,1
20,Ants in my Eyes Johnson,1
1,Rick Sanchez,51
2,Morty Smith,51
3,Summer Smith,42
4,Beth Smith,42
5,Jerry Smith,39
6,Abadango Cluster Princess,1
7,Abradolf Lincler,2
8,Adjudicator Rick,1
9,Agency Director,1
10,Alan Rails,1
11,Albert Einstein,1
12,Alexander,1
13,Alien Googah,1
14,Alien Morty,1
15,Alien Rick,1
16,Amish Cyborg,1
17,Annie,1
18,Antenna Morty,2
19,Antenna Rick,1
20,Ants in my Eyes Johnson,1
1,Rick Sanchez,51
2,Morty Smith,51
3,Summer Smith,42
4,Beth Smith,42
5,Jerry Smith,39
6,Abadango Cluster Princess,1
7,Abradolf Lincler,2
8,Adjudicator Rick,1
9,Agency Director,1
10,Alan Rails,1
11,Albert Einstein,1
12,Alexander,1
13,Alien Googah,1
14,Alien Morty,1
15,Alien Rick,1
16,Amish Cyborg,1
17,Annie,1
18,Antenna Morty,2
19,Antenna Rick,1
20,Ants in my Eyes Johnson,1
1,Rick Sanchez,51
2,Morty Smith,51
3,Summer Smith,42
4,Beth Smith,42
5,Jerry Smith,39
6,Abadango Cluster Princess,1
7,Abradolf Lincler,2
8,Adjudicator Rick,1
9,Agency Director,1
10,Alan Rails,1
11,Albert Einstein,1
12,Alexander,1
13,Alien Googah,1
14,Alien Morty,1
15,Alien Rick,1
16,Amish Cyborg,1
17,Annie,1
18,Antenna Morty,2
19,Antenna Rick,1
20,Ants in my Eyes Johnson,1
1,Rick Sanchez,51
2,Morty Smith,51
3,Summer Smith,42
4,Beth Smith,42
5,Jerry Smith,39
6,Abadango Cluster Princess,1
7,Abradolf Lincler,2
8,Adjudicator Rick,1
9,Agency Director,1
10,Alan Rails,1
11,Albert Einstein,1
12,Alexander,1
